assists,damage_received,headshots,tier,traded,kills,matches,deaths,damage
2031,1301906,7538,immortal,1346,8585,439,6714,1596600
2030,1315953,5451,immortal,1335,7056,428,6879,1327241
2027,1259385,5495,immortal,1494,7576,428,6818,1420553
2025,1215169,4255,immortal,1320,5929,394,6249,1146686
2021,1276505,5135,immortal,1409,6943,429,6771,1281268
2018,1062630,4248,immortal,1151,5709,357,5616,1078637
2017,1047882,3792,immortal,1275,5399,336,5348,1048255
2015,1120404,4463,immortal,1414,6359,356,5865,1186882
2013,1164239,4219,immortal,1275,5979,389,6143,1127938
2013,897357,3158,immortal,871,4873,305,4710,954370
2011,1153936,4769,immortal,1396,6481,371,5927,1214286
2008,1104720,4261,immortal,1268,6178,376,5734,1171124
1995,1213528,4078,immortal,1211,6996,422,6256,1332876
1993,909874,3101,immortal,1014,4645,328,4841,885151
1991,1186775,4420,immortal,1440,6233,378,6267,1178304
1991,1387570,4461,immortal,1681,6859,426,7167,1310053
1990,1122804,3521,immortal,1203,5748,379,5893,1098551
1982,1214139,4962,immortal,1593,6506,388,6402,1240191
1981,1182027,4828,ascendant,1204,6275,386,6174,1195243
1981,1145061,4141,immortal,1314,6179,381,5791,1171260
1979,965229,3232,immortal,1262,4547,286,5132,884580
1975,1033278,3671,immortal,1197,5495,352,5402,1044284
1975,1038528,4409,immortal,1415,5663,317,5393,1047166
1973,1108869,4107,immortal,1229,5921,345,5690,1134945
1966,1181719,4724,immortal,1203,6320,402,6217,1202278
1966,1059552,4626,immortal,1233,6221,337,5474,1136378
1962,1113621,4265,immortal,1418,6128,373,5812,1159599
1959,1236821,4915,immortal,1431,7547,417,6502,1342152
1954,1325204,4782,immortal,1603,6293,402,6888,1161992
1954,1141272,4718,immortal,1243,6674,392,5987,1267451
1952,1070320,4481,immortal,1277,5973,361,5654,1124099
1952,1088501,3784,immortal,1185,5889,377,5785,1120493
1946,1123454,4933,immortal,1094,6536,377,5784,1225213
1945,1636984,7991,immortal,1773,9453,495,8391,1781241
1940,1197062,5111,immortal,1496,6831,364,6221,1286471
1939,1234685,4747,immortal,1193,6576,403,6237,1279772
1938,1219270,4133,immortal,1434,5730,371,6411,1090058
1937,929118,3848,immortal,1079,4855,315,4761,919495
1935,1138149,4586,immortal,1381,6274,351,5931,1183736
1933,1043973,4602,immortal,1307,6449,370,5573,1181318
1933,1092228,3395,immortal,1056,6246,370,5439,1193739
1932,1432117,5920,immortal,1768,7751,463,7633,1437191
1931,942184,3088,immortal,1365,4652,294,4937,904918
1927,992997,4008,immortal,977,5584,361,5255,1066927
1924,1095339,5597,immortal,1285,7211,368,5707,1355503
